icc19_class_id,icc19_class_name_en,namr26_class_id,namr26_class_name_en,namr26_class_name_zh,namr33_class_id,namr33_class_name_en,namr33_class_name_zh,mapping_type,n_annotations,note
0,plastic_bottle,0,plastic_bottle,寶特瓶,0,plastic_bottle,寶特瓶,1:01:01,7379,
1,plastic_bottle_cap,1,plastic_bottle_cap,塑膠瓶蓋,1,plastic_bottle_cap,塑膠瓶蓋,1:01:01,1894,
2,non_pet_food_beverage_container,2,non_pet_food_beverage_container,裝食物塑膠飲料瓶罐(非PET),2,non_pet_food_beverage_container,裝食物塑膠飲料瓶罐(非PET),1:01:01,570,
2,non_pet_food_beverage_container,2,non_pet_food_beverage_container,裝食物塑膠飲料瓶罐(非PET),30,non_pet_food_container,裝食物的塑膠容器(非PET),Refine (N33),186,
3,non_food_plastic_container,3,non_food_plastic_container,非裝食物塑膠瓶罐,3,non_food_plastic_bottle,非裝食物塑膠瓶罐,Refine (N33),1154,
3,non_food_plastic_container,3,non_food_plastic_container,非裝食物塑膠瓶罐,31,non_food_plastic_container,非裝食物塑膠容器,1:01:01,82,
4,takeaway_beverage_cup,4,takeaway_beverage_cup,外帶飲料杯,4,takeaway_beverage_cup,外帶飲料杯,1:01:01,545,
4,takeaway_beverage_cup,4,takeaway_beverage_cup,外帶飲料杯,21,cup,杯狀物,Refine (N33),528,
5,straw,5,straw,吸管,5,straw,吸管,1:01:01,966,
6,disposable_tableware,6,disposable_tableware,免洗餐具,6,disposable_tableware,免洗餐具,1:01:01,473,
6,disposable_tableware,20,plastic_lid,塑膠蓋,20,plastic_lid,塑膠蓋,Refine (N26),276,
6,disposable_tableware,25,disposable_food_container,免洗食品容器,27,disposable_food_container,免洗食品容器,Refine (N26),943,
7,plastic_bag,7,plastic_bag,塑膠(提)袋,7,plastic_bag,塑膠(提)袋,1:01:01,1198,
8,food_wrapper,8,food_wrapper,食品包裝袋,8,food_wrapper,食品包裝袋,1:01:01,1068,
9,metal_can,9,metal_can,鐵鋁罐,9,metal_can,鐵鋁罐,1:01:01,564,
10,cigarette_butt,10,cigarette_butt,煙蒂,10,cigarette_butt,菸蒂,1:01:01,882,
11,lighter,11,lighter,打火機,11,lighter,打火機,1:01:01,584,
12,drink_carton,12,drink_carton,鋁箔包或利樂包,12,drink_carton,鋁箔包或利樂包,1:01:01,634,
12,drink_carton,12,drink_carton,鋁箔包或利樂包,32,aluminum_packaging,純鋁包裝,Refine (N33),17,
13,glass_bottle,13,glass_bottle,玻璃瓶,13,glass_bottle,玻璃瓶,1:01:01,1443,
14,fishing_net_rope,14,fishing_net_rope,漁網與繩子,14,fishing_net_rope,漁網與繩子,1:01:01,2384,
15,fishing_buoy_float,15,fishing_buoy_float,漁業硬式浮球,15,fishing_buoy_float,漁業硬式浮球,1:01:01,2176,
15,fishing_buoy_float,21,foam_buoy_float,發泡塑膠浮具,22,foam_buoy_float,發泡塑膠浮具,Refine (N26),2820,
15,fishing_buoy_float,21,foam_buoy_float,發泡塑膠浮具,28,soft_float,軟式浮具,Refine (N33),1496,
16,fishing_gear,16,fishing_gear,釣魚用具,16,fishing_gear,釣魚用具,1:01:01,228,
16,fishing_gear,26,fish_trap_and_bait,漁籠及餌料,33,fish_trap_and_bait,漁籠及餌料,Refine (N26),205,
17,syringe_needle,17,syringe_needle,針筒針頭,17,syringe_needle,針筒針頭,1:01:01,144,
18,toothbrush,18,toothbrush,牙刷,18,toothbrush,牙刷,1:01:01,226,
19,other,19,other,其他,19,other,其他,1:01:01,2211,
19,other,19,other,其他,25,net_like_item,網狀物,Refine (N33),422,
19,other,19,other,其他,29,foam_container,保麗龍容器,Refine (N33),374,
19,other,22,cigarette_pack,菸盒,23,cigarette_pack,菸盒,Refine (N26),203,
19,other,23,textile,紡織品,24,textile,紡織品,Refine (N26),449,
19,other,24,anthropogenic_fragment,人工碎片,26,anthropogenic_fragment,人工碎片,Refine (N26),8017,
