image_file_name,image_format,image_width,image_height,capture_year,capture_datetime,capture_country_region,capture_county_town,longitude,latitude,scene_type,provider_account,provider_account_zh,has_exif,capture_device,focal_length,orientation
2018_TWN_HWA_1.jpg,jpg,1024,682,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2018_TWN_HWA_2.jpg,jpg,1024,682,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2018_TWN_HWA_3.jpg,jpg,1024,682,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_6.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_7.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_8.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_9.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_10.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_15.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_16.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_17.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_18.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_19.jpg,jpg,576,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_20.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_21.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_24.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_25.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_29.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_31.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_32.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_33.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_35.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_38.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_39.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_1.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_2.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_3.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_4.jpg,jpg,1024,768,-,-,TWN,HualienCounty-ShoufengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_40.jpg,jpg,432,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_48.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_49.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_50.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_41.jpg,jpg,432,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_42.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_45.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
2020_TWN_HWA_47.jpg,jpg,1024,768,-,-,TWN,HualienCounty-XinchengTownship,-,-,Beach,National Academy of Marine Research,國家海洋研究院,No,-,-,-
