gt_class\pred_class,plastic_bottle,plastic_bottle_cap,non_pet_food_beverage_container,non_food_plastic_bottle,takeaway_beverage_cup,straw,disposable_tableware,plastic_bag,food_wrapper,metal_can,cigarette_butt,lighter,drink_carton,glass_bottle,fishing_net_rope,fishing_buoy_float,fishing_gear,syringe_needle,toothbrush,other,plastic_lid,cup,foam_buoy_float,cigarette_pack,textile,net_like_item,anthropogenic_fragment,disposable_food_container,soft_float,foam_container,non_pet_food_container,non_food_plastic_container,aluminum_packaging,fish_trap_and_bait,background
plastic_bottle,0.813758,0.001678,0.0,0.003356,0.0,0.0,0.0,0.010067,0.001678,0.0,0.0,0.0,0.003356,0.006711,0.0,0.001678,0.0,0.0,0.0,0.0,0.0,0.001678,0.003356,0.0,0.006711,0.0,0.0,0.0,0.001678,0.0,0.0,0.0,0.0,0.0,0.144295
plastic_bottle_cap,0.006329,0.683544,0.0,0.0,0.0,0.0,0.006329,0.0,0.0,0.006329,0.0,0.006329,0.0,0.0,0.0,0.012658,0.0,0.0,0.0,0.031646,0.012658,0.006329,0.0,0.0,0.0,0.0,0.012658,0.025316,0.0,0.0,0.0,0.0,0.0,0.0,0.189873
non_pet_food_beverage_container,0.170732,0.0,0.317073,0.219512,0.02439,0.0,0.0,0.0,0.0,0.02439,0.0,0.04878,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170732
non_food_plastic_bottle,0.161905,0.009524,0.095238,0.447619,0.0,0.0,0.0,0.0,0.009524,0.0,0.0,0.019048,0.0,0.0,0.0,0.019048,0.0,0.0,0.0,0.0,0.0,0.0,0.028571,0.0,0.009524,0.0,0.019048,0.057143,0.009524,0.0,0.0,0.009524,0.0,0.0,0.104762
takeaway_beverage_cup,0.073171,0.0,0.0,0.02439,0.512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146341,0.02439,0.0,0.0,0.0,0.02439,0.0,0.0,0.04878,0.0,0.0,0.0,0.0,0.121951
straw,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013889,0.0,0.013889,0.041667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263889
disposable_tableware,0.0,0.04,0.0,0.0,0.0,0.12,0.56,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
plastic_bag,0.016807,0.0,0.0,0.0,0.0,0.0,0.0,0.596639,0.016807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058824,0.0,0.008403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302521
food_wrapper,0.028169,0.0,0.0,0.0,0.028169,0.0,0.014085,0.084507,0.591549,0.014085,0.0,0.014085,0.028169,0.0,0.0,0.0,0.0,0.0,0.0,0.014085,0.0,0.0,0.0,0.014085,0.0,0.0,0.042254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126761
metal_can,0.09434,0.0,0.037736,0.0,0.018868,0.0,0.0,0.0,0.018868,0.54717,0.0,0.0,0.075472,0.018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018868,0.0,0.0,0.0,0.0,0.0,0.018868,0.150943
cigarette_butt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211538
lighter,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.7,0.025,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1
drink_carton,0.0,0.025641,0.0,0.0,0.0,0.0,0.0,0.0,0.179487,0.0,0.0,0.0,0.589744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.0,0.0,0.153846
glass_bottle,0.058252,0.0,0.0,0.009709,0.009709,0.0,0.0,0.0,0.0,0.009709,0.0,0.009709,0.0,0.747573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15534
