gt_class,pred_class,count,fraction_of_gt_class
anthropogenic_fragment,background,425,0.630564
background,anthropogenic_fragment,336,0.311399
background,plastic_bottle,141,0.130677
background,foam_buoy_float,104,0.096386
plastic_bottle,background,86,0.144295
foam_buoy_float,background,82,0.302583
soft_float,background,79,0.632
fishing_net_rope,background,67,0.336683
fishing_buoy_float,background,57,0.3
background,fishing_net_rope,57,0.052827
other,background,55,0.352564
background,other,48,0.044486
anthropogenic_fragment,foam_buoy_float,45,0.066766
background,plastic_bag,44,0.040778
background,soft_float,44,0.040778
plastic_bag,background,36,0.302521
background,fishing_buoy_float,32,0.029657
plastic_bottle_cap,background,30,0.189873
background,plastic_bottle_cap,27,0.025023
background,glass_bottle,25,0.02317
foam_buoy_float,anthropogenic_fragment,21,0.077491
background,straw,20,0.018536
straw,background,19,0.263889
non_food_plastic_bottle,plastic_bottle,17,0.161905
background,non_food_plastic_bottle,17,0.015755
background,net_like_item,17,0.015755
background,disposable_food_container,17,0.015755
glass_bottle,background,16,0.15534
background,textile,16,0.014829
background,food_wrapper,15,0.013902
