class_id,class_name,images_with_1_boxes,images_with_2_boxes,images_with_3_boxes,images_with_4_boxes,images_with_5+_boxes
0,plastic_bottle,3019,309,141,84,166
1,plastic_bottle_cap,1221,83,21,5,5
2,non_pet_food_beverage_container,424,11,3,0,0
3,non_food_plastic_bottle,841,32,3,0,2
4,takeaway_beverage_cup,413,14,0,1,0
5,straw,680,30,6,1,2
6,disposable_tableware,338,15,0,0,0
7,plastic_bag,756,54,8,9,4
8,food_wrapper,788,23,4,2,0
9,metal_can,413,14,2,1,0
10,cigarette_butt,446,39,14,9,11
11,lighter,438,11,1,1,0
12,drink_carton,457,17,4,1,0
13,glass_bottle,912,68,17,2,7
14,fishing_net_rope,1364,150,34,15,14
15,fishing_buoy_float,1105,116,45,24,26
16,fishing_gear,180,5,0,0,0
17,syringe_needle,113,1,0,0,0
18,toothbrush,179,1,0,0,0
19,other,1428,108,26,7,3
20,plastic_lid,204,5,1,0,0
21,cup,391,11,0,0,0
22,foam_buoy_float,642,156,70,48,112
23,cigarette_pack,127,12,1,1,1
24,textile,310,20,3,0,0
25,net_like_item,283,17,3,0,0
26,anthropogenic_fragment,1438,309,154,115,322
27,disposable_food_container,697,28,2,1,1
28,soft_float,429,113,50,27,36
29,foam_container,246,15,9,2,1
30,non_pet_food_container,145,2,0,0,0
31,non_food_plastic_container,56,4,0,0,0
32,aluminum_packaging,13,0,0,0,0
33,fish_trap_and_bait,150,3,0,0,0
