class_id,class_name,boxes,images,boxes_per_image,p50_rel_size,p10_rel_size,p90_rel_size
0,plastic_bottle,5904,3719,1.587524,0.198912,0.058984,0.504856
1,plastic_bottle_cap,1515,1335,1.134831,0.116814,0.036581,0.27079
2,non_pet_food_beverage_container,455,438,1.038813,0.25549,0.087149,0.476403
3,non_food_plastic_bottle,924,878,1.052392,0.303063,0.093515,0.556844
4,takeaway_beverage_cup,445,428,1.03972,0.293359,0.094987,0.537774
5,straw,773,719,1.075104,0.248757,0.090947,0.476007
6,disposable_tableware,368,353,1.042493,0.241002,0.08787,0.432468
7,plastic_bag,958,831,1.152828,0.265644,0.103408,0.599732
8,food_wrapper,854,817,1.045288,0.302277,0.102556,0.59868
9,metal_can,451,430,1.048837,0.250384,0.094573,0.513911
10,cigarette_butt,706,519,1.360308,0.077444,0.030449,0.181035
11,lighter,467,451,1.035477,0.192594,0.066808,0.383095
12,drink_carton,507,479,1.058455,0.244487,0.081686,0.495328
13,glass_bottle,1154,1006,1.147117,0.23991,0.084511,0.479793
14,fishing_net_rope,1907,1577,1.209258,0.450186,0.135608,0.886657
15,fishing_buoy_float,1765,1316,1.341185,0.207534,0.070282,0.495464
16,fishing_gear,190,185,1.027027,0.221093,0.083262,0.474206
17,syringe_needle,115,114,1.008772,0.234094,0.092603,0.376309
18,toothbrush,181,180,1.005556,0.282437,0.143642,0.47626
19,other,1767,1572,1.124046,0.226736,0.072452,0.545041
20,plastic_lid,217,210,1.033333,0.255309,0.085322,0.493814
21,cup,413,402,1.027363,0.22198,0.095824,0.452783
22,foam_buoy_float,2252,1028,2.190661,0.118806,0.051738,0.395006
23,cigarette_pack,163,142,1.147887,0.261803,0.08136,0.523433
24,textile,359,333,1.078078,0.220788,0.08192,0.518252
25,net_like_item,326,303,1.075908,0.203221,0.064057,0.570532
26,anthropogenic_fragment,6407,2338,2.740376,0.074899,0.034079,0.240116
27,disposable_food_container,770,729,1.056241,0.314518,0.107258,0.582862
28,soft_float,1177,655,1.796947,0.120679,0.042749,0.430911
29,foam_container,317,273,1.161172,0.203718,0.076166,0.507013
30,non_pet_food_container,149,147,1.013605,0.278952,0.090796,0.517542
31,non_food_plastic_container,64,60,1.066667,0.316206,0.086638,0.614232
32,aluminum_packaging,13,13,1.0,0.400461,0.128964,0.595396
33,fish_trap_and_bait,156,153,1.019608,0.312969,0.1237,0.529503
