class_id,class_name,ap50,ap50_95,precision,recall,train_boxes,train_images,val_boxes,val_images
31,non_food_plastic_container,0.094349,0.079461,0.145258,0.2,59,55,5,5
32,aluminum_packaging,0.0995,0.0995,1.0,0.0,12,12,1,1
30,non_pet_food_container,0.199176,0.165621,0.402927,0.133333,134,132,15,15
26,anthropogenic_fragment,0.229281,0.146446,0.325066,0.264095,5733,2105,674,233
19,other,0.26381,0.212341,0.323978,0.26728,1611,1431,156,141
28,soft_float,0.31545,0.209367,0.407847,0.296,1052,584,125,71
23,cigarette_pack,0.36125,0.359007,0.488009,0.4,153,133,10,9
24,textile,0.377491,0.283586,0.392108,0.45,319,295,40,38
25,net_like_item,0.379969,0.269948,0.324969,0.410167,299,277,27,26
29,foam_container,0.40374,0.363856,0.534385,0.333571,286,245,31,28
16,fishing_gear,0.435771,0.367751,0.450988,0.368421,171,167,19,18
21,cup,0.454033,0.384074,0.440625,0.571429,378,367,35,35
2,non_pet_food_beverage_container,0.472356,0.441491,0.443513,0.439024,414,397,41,41
22,foam_buoy_float,0.537326,0.432359,0.483095,0.597786,1981,923,271,105
6,disposable_tableware,0.546714,0.395366,0.441675,0.52,343,330,25,23
3,non_food_plastic_bottle,0.551971,0.514397,0.602195,0.519043,819,777,105,101
4,takeaway_beverage_cup,0.558402,0.475162,0.478868,0.560976,404,390,41,38
27,disposable_food_container,0.573174,0.455309,0.559817,0.57386,688,651,82,78
8,food_wrapper,0.573212,0.451048,0.520955,0.605634,783,748,71,69
12,drink_carton,0.581727,0.502697,0.516724,0.692308,468,442,39,37
14,fishing_net_rope,0.622627,0.393058,0.643295,0.623116,1708,1404,199,173
7,plastic_bag,0.629168,0.529048,0.512058,0.630252,839,736,119,95
15,fishing_buoy_float,0.648042,0.534096,0.71381,0.610526,1575,1180,190,136
9,metal_can,0.676907,0.606384,0.636256,0.594158,398,380,53,50
5,straw,0.697628,0.54212,0.612959,0.694444,701,651,72,68
33,fish_trap_and_bait,0.722851,0.641017,0.528096,0.769231,143,140,13,13
17,syringe_needle,0.733102,0.620782,0.776722,0.653405,99,98,16,16
20,plastic_lid,0.754147,0.704097,0.541379,0.809524,196,189,21,21
11,lighter,0.757171,0.638489,0.628192,0.725,427,411,40,40
1,plastic_bottle_cap,0.758019,0.61135,0.712695,0.706516,1357,1190,158,145
18,toothbrush,0.77795,0.690425,0.772699,0.716393,162,161,19,19
0,plastic_bottle,0.822058,0.672378,0.71566,0.815043,5308,3319,596,400
10,cigarette_butt,0.836985,0.678839,0.729927,0.788462,654,474,52,45
13,glass_bottle,0.840204,0.678963,0.770747,0.816021,1051,918,103,88
