class_id,class_name,baseline_y11n_ap50,baseline_y11n_ap50_95,y11m_control_ap50,y11m_control_ap50_95,y11m_rfs_t0.05_ap50,y11m_rfs_t0.05_ap50_95
0,plastic_bottle,0.763182,0.624964,0.800809,0.667558,0.802587,0.676434
1,plastic_bottle_cap,0.712859,0.579902,0.778324,0.616641,0.758584,0.603785
2,non_pet_food_beverage_container,0.361161,0.336775,0.506502,0.469092,0.461156,0.430491
3,non_food_plastic_bottle,0.466404,0.433795,0.571207,0.53406,0.48303,0.447058
4,takeaway_beverage_cup,0.471347,0.422368,0.54641,0.472391,0.516998,0.454094
5,straw,0.658523,0.511934,0.747823,0.59232,0.702089,0.559221
6,disposable_tableware,0.511552,0.383453,0.528115,0.386864,0.515794,0.39426
7,plastic_bag,0.619664,0.52524,0.661021,0.560348,0.601347,0.504857
8,food_wrapper,0.43415,0.359619,0.523635,0.45407,0.524072,0.440188
9,metal_can,0.55479,0.507166,0.673308,0.616411,0.685835,0.632672
10,cigarette_butt,0.776352,0.637229,0.860098,0.707408,0.838953,0.691488
11,lighter,0.723139,0.602591,0.88236,0.794074,0.854983,0.758447
12,drink_carton,0.584239,0.511165,0.725562,0.638541,0.748596,0.670007
13,glass_bottle,0.755149,0.613926,0.818043,0.695334,0.800715,0.664719
14,fishing_net_rope,0.593648,0.386487,0.627589,0.408135,0.665521,0.44142
15,fishing_buoy_float,0.590421,0.485986,0.638647,0.520334,0.617674,0.509849
16,fishing_gear,0.320927,0.263661,0.361097,0.32611,0.514053,0.381583
17,syringe_needle,0.673878,0.542016,0.901308,0.786171,0.899035,0.759649
18,toothbrush,0.706101,0.652055,0.718812,0.67297,0.753555,0.710586
19,other,0.205806,0.168765,0.211036,0.178595,0.206655,0.172409
20,plastic_lid,0.704223,0.65614,0.73972,0.703556,0.869386,0.81099
21,cup,0.384204,0.329955,0.554497,0.491374,0.423838,0.381278
22,foam_buoy_float,0.481344,0.395738,0.5052,0.414207,0.474659,0.386531
23,cigarette_pack,0.227723,0.227723,0.62005,0.571452,0.693564,0.652921
24,textile,0.309525,0.245294,0.490092,0.395948,0.49172,0.391535
25,net_like_item,0.367652,0.235644,0.324503,0.253783,0.484802,0.287361
26,anthropogenic_fragment,0.204438,0.131993,0.264731,0.172678,0.255547,0.168655
27,disposable_food_container,0.507869,0.413842,0.536763,0.448616,0.610156,0.510253
28,soft_float,0.342276,0.225728,0.280906,0.192089,0.251627,0.172475
29,foam_container,0.301253,0.27791,0.286143,0.26886,0.331158,0.306105
30,non_pet_food_container,0.092409,0.075083,0.404845,0.369452,0.255446,0.245611
31,non_food_plastic_container,0.090209,0.07445,0.60396,0.584158,0.160537,0.160537
32,aluminum_packaging,0.0,0.0,1.0,1.0,0.0,0.0
33,fish_trap_and_bait,0.710248,0.622752,0.872603,0.798332,0.836868,0.754826
