class_id,class_name,train_images,f_c,r_c
0,plastic_bottle,3319,0.22190279,1.0
1,plastic_bottle_cap,1190,0.07956141,1.0
2,non_pet_food_beverage_container,397,0.02654276,1.372499
3,non_food_plastic_bottle,777,0.05194892,1.0
4,takeaway_beverage_cup,390,0.02607475,1.384761
5,straw,651,0.04352477,1.071807
6,disposable_tableware,330,0.02206325,1.505394
7,plastic_bag,736,0.04920773,1.008018
8,food_wrapper,748,0.05001003,1.0
9,metal_can,380,0.02540616,1.402864
10,cigarette_butt,474,0.03169085,1.256082
11,lighter,411,0.02747877,1.34892
12,drink_carton,442,0.02955138,1.300757
13,glass_bottle,918,0.06137594,1.0
14,fishing_net_rope,1404,0.09386909,1.0
15,fishing_buoy_float,1180,0.07889283,1.0
16,fishing_gear,167,0.01116534,2.116162
17,syringe_needle,98,0.00655212,2.762449
18,toothbrush,161,0.01076419,2.155233
19,other,1431,0.09567427,1.0
20,plastic_lid,189,0.01263622,1.98919
21,cup,367,0.02453701,1.427494
22,foam_buoy_float,923,0.06171024,1.0
23,cigarette_pack,133,0.00889216,2.371272
24,textile,295,0.01972321,1.592195
25,net_like_item,277,0.01851976,1.643113
26,anthropogenic_fragment,2105,0.14073678,1.0
27,disposable_food_container,651,0.04352477,1.071807
28,soft_float,584,0.03904526,1.131621
29,foam_container,245,0.01638029,1.747126
30,non_pet_food_container,132,0.0088253,2.380237
31,non_food_plastic_container,55,0.00367721,3.687448
32,aluminum_packaging,12,0.0008023,7.894355
33,fish_trap_and_bait,140,0.00936017,2.31123
