taxonomy,source_class_id,source_class_name,icc19_class_id,icc19_class_name
icc19,0,plastic_bottle,0,plastic_bottle
icc19,1,plastic_bottle_cap,1,plastic_bottle_cap
icc19,2,non_pet_food_beverage_container,2,non_pet_food_beverage_container
icc19,3,non_food_plastic_container,3,non_food_plastic_container
icc19,4,takeaway_beverage_cup,4,takeaway_beverage_cup
icc19,5,straw,5,straw
icc19,6,disposable_tableware,6,disposable_tableware
icc19,7,plastic_bag,7,plastic_bag
icc19,8,food_wrapper,8,food_wrapper
icc19,9,metal_can,9,metal_can
icc19,10,cigarette_butt,10,cigarette_butt
icc19,11,lighter,11,lighter
icc19,12,drink_carton,12,drink_carton
icc19,13,glass_bottle,13,glass_bottle
icc19,14,fishing_net_rope,14,fishing_net_rope
icc19,15,fishing_buoy_float,15,fishing_buoy_float
icc19,16,fishing_gear,16,fishing_gear
icc19,17,syringe_needle,17,syringe_needle
icc19,18,toothbrush,18,toothbrush
icc19,19,other,19,other
namr26,0,plastic_bottle,0,plastic_bottle
namr26,1,plastic_bottle_cap,1,plastic_bottle_cap
namr26,2,non_pet_food_beverage_container,2,non_pet_food_beverage_container
namr26,3,non_food_plastic_container,3,non_food_plastic_container
namr26,4,takeaway_beverage_cup,4,takeaway_beverage_cup
namr26,5,straw,5,straw
namr26,6,disposable_tableware,6,disposable_tableware
namr26,7,plastic_bag,7,plastic_bag
namr26,8,food_wrapper,8,food_wrapper
namr26,9,metal_can,9,metal_can
namr26,10,cigarette_butt,10,cigarette_butt
namr26,11,lighter,11,lighter
namr26,12,drink_carton,12,drink_carton
namr26,13,glass_bottle,13,glass_bottle
namr26,14,fishing_net_rope,14,fishing_net_rope
namr26,15,fishing_buoy_float,15,fishing_buoy_float
namr26,16,fishing_gear,16,fishing_gear
namr26,17,syringe_needle,17,syringe_needle
namr26,18,toothbrush,18,toothbrush
namr26,19,other,19,other
namr26,20,plastic_lid,6,disposable_tableware
namr26,21,foam_buoy_float,15,fishing_buoy_float
namr26,22,cigarette_pack,19,other
namr26,23,textile,19,other
namr26,24,anthropogenic_fragment,19,other
namr26,25,disposable_food_container,6,disposable_tableware
namr26,26,fish_trap_and_bait,16,fishing_gear
namr33,0,plastic_bottle,0,plastic_bottle
namr33,1,plastic_bottle_cap,1,plastic_bottle_cap
namr33,2,non_pet_food_beverage_container,2,non_pet_food_beverage_container
namr33,3,non_food_plastic_bottle,3,non_food_plastic_container
namr33,4,takeaway_beverage_cup,4,takeaway_beverage_cup
namr33,5,straw,5,straw
namr33,6,disposable_tableware,6,disposable_tableware
namr33,7,plastic_bag,7,plastic_bag
namr33,8,food_wrapper,8,food_wrapper
namr33,9,metal_can,9,metal_can
namr33,10,cigarette_butt,10,cigarette_butt
namr33,11,lighter,11,lighter
namr33,12,drink_carton,12,drink_carton
namr33,13,glass_bottle,13,glass_bottle
namr33,14,fishing_net_rope,14,fishing_net_rope
namr33,15,fishing_buoy_float,15,fishing_buoy_float
namr33,16,fishing_gear,16,fishing_gear
namr33,17,syringe_needle,17,syringe_needle
namr33,18,toothbrush,18,toothbrush
namr33,19,other,19,other
namr33,20,plastic_lid,6,disposable_tableware
namr33,21,cup,4,takeaway_beverage_cup
namr33,22,foam_buoy_float,15,fishing_buoy_float
namr33,23,cigarette_pack,19,other
namr33,24,textile,19,other
namr33,25,net_like_item,19,other
namr33,26,anthropogenic_fragment,19,other
namr33,27,disposable_food_container,6,disposable_tableware
namr33,28,soft_float,15,fishing_buoy_float
namr33,29,foam_container,19,other
namr33,30,non_pet_food_container,2,non_pet_food_beverage_container
namr33,31,non_food_plastic_container,3,non_food_plastic_container
namr33,32,aluminum_packaging,12,drink_carton
namr33,33,fish_trap_and_bait,16,fishing_gear
